Title,Genre,Director,Year,Rating,Budget,Revenue
The Great Escape,Action,John Smith,2010,8.2,50,200
Love in Paris,Romance,Emma Johnson,2012,6.8,20,60
Space Odyssey,Sci-Fi,Michael Bay,2015,7.5,150,400
Mystery Manor,Mystery,Sarah Lee,2018,7.9,30,120
Comedy Nights,Comedy,David Brown,2011,6.5,15,50
Horror House,Horror,Laura Wilson,2019,5.9,10,35
Epic Adventure,Action,John Smith,2013,8.5,70,250
Romantic Tales,Romance,Emma Johnson,2016,7.2,25,80
Future World,Sci-Fi,Michael Bay,2020,7.8,200,500
Detective Chronicles,Mystery,Sarah Lee,2014,8.0,40,150
Laugh Out Loud,Comedy,David Brown,2017,6.9,18,55
Night Terror,Horror,Laura Wilson,2012,6.0,12,40
Action Heroes,Action,John Smith,2021,8.7,90,300
Paris Dreams,Romance,Emma Johnson,2019,7.4,30,100
Galactic Wars,Sci-Fi,Michael Bay,2018,8.1,180,450
Murder Case,Mystery,Sarah Lee,2011,7.6,35,130
Funny Moments,Comedy,David Brown,2015,6.7,20,60
Haunted Nights,Horror,Laura Wilson,2021,6.2,15,45
